id,activity,freq
0,familie kinder,10
1,sights,17
2,touren,66
3,hotel tipp,27
4,Reiten,4
5,wandertouren,3
6,sehenswürdigkeiten gebäude,12
7,extracurricular activity,5
8,kulinarik asiatisch,3
9,freizeitaktivitäten,35
10,kulinarik steirisch,5
11,geheimtipps,4
12,events,20
13,touren wandertouren,41
14,familie,30
15,sehenswürdigkeiten natursehenswürdigkeiten,12
16,sports,13
17,kulinarik steak haus steirisch,3
18,sehenswürdigkeiten schaubetrieb,10
19,sport familie,3
20,*,2887
21,familie Spielplatz,4
22,familie mountainbiken,3
23,hotel tipp familie,4
24,touren alpencross familie kinder,5
25,sehenswürdigkeiten,90
26,kulinarik,48
27,k k,18
28,flugsporteinrichtung,3
29,Massage,4
30,sport,48
31,sehenswürdigkeiten kulinarik,3
32,touren wandertouren wandern berg,4
